origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV15_Turbellaria_Prolecithophora_Plagiostomum_Plagiostomum_cinctum,1,333,0.974549,0.990824,-14769.3,-14778.5,0.18528,0.631639,NA,NA,NA,NA
placements,ASV126_Turbellaria_Rhabdocoela_Graffilla_Graffilla_buccinicola,1,333,0.854405,0.88037,-15700.8,-15716.8,0.15821,1.1892,NA,NA,NA,NA
placements,ASV82_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,135,0.947057,0.93764,-17371.7,-17374,0.0125262,0.0236485,NA,NA,NA,NA
placements,ASV28_Turbellaria_Rhabdocoela_Gnathorhynchus_Gnathorhynchus_inermis,1,333,0.996886,0.99928,-15342.2,-15350.2,0.167641,0.524858,NA,NA,NA,NA
placements,ASV114_Turbellaria_Macrostomorpha_Microstomum_Microstomum_lineare,1,333,1,1,-14593.1,-14599.2,0.128242,0.381116,NA,NA,NA,NA
placements,ASV93_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,333,0.840373,0.890309,-15652.8,-15668.3,0.211245,1.12806,NA,NA,NA,NA
placements,ASV81_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,333,0.914549,0.891211,-14782.1,-14794,0.158942,0.835182,NA,NA,NA,NA
placements,ASV26_Turbellaria_Macrostomorpha_Microstomum_Microstomum_papillosum,1,333,1,1,-15361.8,-15369,0.130069,0.460022,NA,NA,NA,NA
placements,ASV191_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.460392,0.162867,-15685.6,-15698.1,0.253875,0.835429,NA,NA,NA,NA
placements,ASV13_Turbellaria_Macrostomorpha_Dolichomacrostomum_Dolichomacrostomum_uniporum,1,333,1,1,-15356.7,-15364.1,0.131345,0.475987,NA,NA,NA,NA
placements,ASV121_Turbellaria_Macrostomorpha_Dolichomacrostomum_Dolichomacrostomum_uniporum,1,333,1,1,-15357.5,-15364.9,0.131465,0.482711,NA,NA,NA,NA
placements,ASV194_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-11843.9,-11846.5,9.12787e-06,0.0134652,NA,NA,NA,NA
placements,ASV161_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_canadensis,1,333,0.885174,0.891567,-15199.2,-15212.5,0.195566,0.953819,NA,NA,NA,NA
placements,ASV3_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,127,1,1,-17362.1,-17367,5.62254e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV137_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.864512,0.886277,-15428.2,-15439.9,0.221512,0.80652,NA,NA,NA,NA
placements,ASV18_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,243,0.333584,0.475817,-14402.7,-14405.4,5e-07,6.11352e-06,NA,NA,NA,NA
placements,ASV120_Turbellaria_Acoelomorpha_Avagina_Avagina_sp.,1,202,1,1,-16097.3,-16100.7,0.0156693,0.00783688,NA,NA,NA,NA
placements,ASV175_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-16954.4,-16959.4,9.12787e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV80_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,333,1,1,-15507.1,-15516.1,0.142176,0.607432,NA,NA,NA,NA
placements,ASV85_Turbellaria_Rhabdocoela_Proxenetes_Proxenetes_puccinellicola,1,333,0.985792,0.989614,-15465.9,-15477.8,0.152337,0.833672,NA,NA,NA,NA
placements,ASV169_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,127,0.990398,0.993362,-17276.3,-17278.5,0.00299805,0.0638729,NA,NA,NA,NA
placements,ASV144_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-15132.1,-15135.4,9.12787e-06,0.0236428,NA,NA,NA,NA
placements,ASV192_Turbellaria_Macrostomorpha_Microstomum_Microstomum_papillosum,1,333,0.987451,0.997912,-14846.3,-14856.6,0.135864,0.724958,NA,NA,NA,NA
placements,ASV145_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,243,0.333576,0.475201,-14435.7,-14437.1,5e-07,0.0167113,NA,NA,NA,NA
placements,ASV207_Monogenea_Monopisthocotylea_Leptocotyle_Leptocotyle_minor,1,332,0.31376,0.514358,-12506,-12528,0.0742416,1.79698,NA,NA,NA,NA
placements,ASV49_Turbellaria_Rhabdocoela_Byrsophlebs_Byrsophlebs_delamarei,1,333,0.954518,0.988187,-15499.9,-15514.6,0.176423,1.08227,NA,NA,NA,NA
placements,ASV138_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.603826,0.351353,-15459.2,-15472.4,0.224494,0.945425,NA,NA,NA,NA
placements,ASV115_Turbellaria_Acoelomorpha_Haploposthia_Haploposthia_rubra,1,276,0.968327,0.987775,-17511.4,-17515.1,5.18153e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV129_Turbellaria_Acoelomorpha_Avagina_Avagina_sp.,1,202,1,1,-16030.7,-16033.7,0.0297902,0.00680657,NA,NA,NA,NA
placements,ASV109_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.977329,0.991084,-15443.9,-15457.1,0.180736,0.949274,NA,NA,NA,NA
placements,ASV119_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.84585,0.875125,-15440.1,-15453,0.220894,0.909114,NA,NA,NA,NA
placements,ASV204_Turbellaria_Rhabdocoela_Paracrorhynchus_Paracrorhynchus_sp.,1,333,0.992629,0.996349,-15450.7,-15458,0.184427,0.468701,NA,NA,NA,NA
placements,ASV98_Turbellaria_Acoelomorpha_Proaphanostoma_Proaphanostoma_tenuissima,1,202,1,1,-16022.4,-16025.6,0.0202553,0.00746304,NA,NA,NA,NA
placements,ASV33_Turbellaria_Rhabdocoela_Danorhynchus_Danorhynchus_sp.,1,333,0.981215,0.995302,-15378.3,-15385.9,0.185627,0.490747,NA,NA,NA,NA
placements,ASV86_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,150,0.231666,0.382355,-17522.8,-17524.5,0.00707884,0.0554433,NA,NA,NA,NA
placements,ASV79_Turbellaria_Rhabdocoela_Ptychopera_Ptychopera_westbladi,1,333,0.954224,0.935752,-15090.5,-15099.8,0.161454,0.62963,NA,NA,NA,NA
placements,ASV180_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,127,1,1,-16074.3,-16078.8,5.62254e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV177_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,0.368647,0.463517,-13894.6,-13924.9,9.12787e-06,1.99999,NA,NA,NA,NA
placements,ASV53_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.845134,0.861554,-15441.7,-15454.5,0.221639,0.900372,NA,NA,NA,NA
placements,ASV37_Turbellaria_Acoelomorpha_Haploposthia_Haploposthia_rubra,1,275,0.90756,0.970981,-17511.4,-17514.9,6.11931e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV91_Turbellaria_Rhabdocoela_Odontorhynchus_Odontorhynchus_aculeatus,1,333,0.996135,0.999142,-15343.9,-15351.8,0.171931,0.520245,NA,NA,NA,NA
placements,ASV76_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,243,0.333582,0.475668,-14419,-14420.5,5e-07,0.00822797,NA,NA,NA,NA
placements,ASV63_Turbellaria_Prolecithophora_Cylindrostoma_Cylindrostoma_gracilis,1,333,0.864463,0.903054,-15156,-15168.9,0.211637,0.916819,NA,NA,NA,NA
placements,ASV74_Turbellaria_Acoelomorpha_Proaphanostoma_Proaphanostoma_tenuissima,1,202,0.856606,0.899341,-16192.5,-16195.5,0.145662,0.108372,NA,NA,NA,NA
placements,ASV184_Turbellaria_Rhabdocoela_Placorhynchus_Placorhynchus_octaculeatus,1,333,0.915609,0.954806,-15454.2,-15466,0.202933,0.833529,NA,NA,NA,NA
placements,ASV176_Turbellaria_Acoelomorpha_Haplocelis_Haplocelis_dichona,1,262,1,1,-17110.3,-17113,0.0375996,0.0665661,NA,NA,NA,NA
placements,ASV60_Turbellaria_Rhabdocoela_Ethmorhynchus_Ethmorhynchus_anophthalmus,1,333,0.996656,0.998972,-15457.7,-15467.3,0.153823,0.646895,NA,NA,NA,NA
placements,ASV112_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.98594,0.994502,-14224.1,-14235.1,0.145814,0.814854,NA,NA,NA,NA
placements,ASV124_Turbellaria_Rhabdocoela_Phonorhynchus_Phonorhynchus_helgolandicus,1,333,0.954253,0.979426,-15536.3,-15545.1,0.190558,0.582266,NA,NA,NA,NA
placements,ASV70_Turbellaria_Acoelomorpha_Avagina_Avagina_marci,1,202,0.621439,0.74158,-15902.4,-15909.2,0.125496,0.419545,NA,NA,NA,NA
placements,ASV41_Turbellaria_Acoelomorpha_Kuma_Kuma_viridis,1,283,1,1,-17329.1,-17332.9,7.27266e-06,0.00360065,NA,NA,NA,NA
placements,ASV36_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.842045,0.848003,-15437.5,-15450.3,0.222562,0.895008,NA,NA,NA,NA
placements,ASV47_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.847705,0.857419,-15436.1,-15448.5,0.221832,0.872368,NA,NA,NA,NA
placements,ASV155_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.873251,0.909579,-15090.2,-15102.1,0.218385,0.835336,NA,NA,NA,NA
placements,ASV162_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-15671.6,-15676.5,9.12787e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV153_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_sp.,1,333,1,1,-15656.2,-15665.9,0.129315,0.671399,NA,NA,NA,NA
placements,ASV195_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-15282.6,-15287.5,9.12787e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV30_Turbellaria_Prolecithophora_Plagiostomum_Plagiostomum_lemani,1,333,0.962462,0.983897,-15351.4,-15362,0.169854,0.744192,NA,NA,NA,NA
placements,ASV164_Turbellaria_Rhabdocoela_Scanorhynchus_Scanorhynchus_forcipatus,1,333,0.983899,0.995582,-15373.6,-15380.9,0.185697,0.464682,NA,NA,NA,NA
placements,ASV181_Turbellaria_Acoelomorpha_Philactinoposthia_Philactinoposthia_sp.,1,391,1,1,-17178,-17180,0.0151862,0.0154012,NA,NA,NA,NA
placements,ASV58_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,127,0.990874,0.993703,-17267.4,-17269.6,0.00302128,0.0599885,NA,NA,NA,NA
placements,ASV203_Turbellaria_Acoelomorpha_Nemertoderma_Nemertoderma_westbladi,1,331,1,1,-15095.7,-15099.2,0.0145993,0.0377034,NA,NA,NA,NA
placements,ASV143_Turbellaria_Macrostomorpha_Myozonaria_Myozonaria_fissipara,1,333,1,1,-15353.7,-15360.3,0.122514,0.420623,NA,NA,NA,NA
placements,ASV116_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_canadensis,1,333,0.904068,0.918943,-15193.4,-15206.3,0.196642,0.921427,NA,NA,NA,NA
placements,ASV38_Turbellaria_Prolecithophora_Allostoma_Allostoma_pallidum,1,334,0.853447,0.931361,-15492.9,-15506.2,0.133466,0.989982,NA,NA,NA,NA
placements,ASV43_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-17373.2,-17377.2,9.12787e-06,0.00349647,NA,NA,NA,NA
placements,ASV117_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.631399,0.449335,-15681.5,-15695.6,0.219328,1.03688,NA,NA,NA,NA
placements,ASV132_Turbellaria_Catenulida_Stenostomum_Stenostomum_leucops,1,333,1,1,-15483.8,-15488.5,0.135734,0.271478,NA,NA,NA,NA
placements,ASV2_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,126,1,1,-17362.1,-17367.1,9.12787e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV107_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,333,0.947872,0.96874,-14593.2,-14604.4,0.193079,0.792905,NA,NA,NA,NA
placements,ASV25_Trematoda_Digenea_Choanocotyle_Choanocotyle_platti,1,47,0.79311,0.845291,-3400.38,-3432.75,0.132257,1.99999,NA,NA,NA,NA
placements,ASV96_Turbellaria_Rhabdocoela_Balgetia_Balgetia_semicirculifera,1,333,1,1,-15652.6,-15663.7,0.14205,0.774066,NA,NA,NA,NA
placements,ASV179_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,243,0.33355,0.472462,-13203.6,-13205.4,5e-07,0.00424294,NA,NA,NA,NA
placements,ASV168_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,333,0.933269,0.94987,-14593.7,-14605,0.195886,0.790954,NA,NA,NA,NA
placements,ASV42_Turbellaria_Rhabdocoela_Paracrorhynchus_Paracrorhynchus_sp.,1,333,0.992593,0.996341,-15450,-15457.3,0.184394,0.469772,NA,NA,NA,NA
placements,ASV198_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_auritum,1,0,0.116572,0.157293,-13080.8,-13086.3,5e-07,0.405495,NA,NA,NA,NA
placements,ASV97_Turbellaria_Rhabdocoela_Scanorhynchus_Scanorhynchus_forcipatus,1,333,0.966526,0.988918,-15386.8,-15394.5,0.196418,0.502576,NA,NA,NA,NA
placements,ASV48_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,333,0.9654,0.992291,-15468.3,-15479,0.188317,0.737832,NA,NA,NA,NA
placements,ASV130_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_sp.,1,468,0.892359,0.961152,-17287.2,-17289.6,0.0202491,0.0796686,NA,NA,NA,NA
placements,ASV173_Turbellaria_Rhabdocoela_Polycystis_Polycystis_sp.,1,333,0.98501,0.995238,-15376.5,-15385.1,0.181056,0.578348,NA,NA,NA,NA
placements,ASV72_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,333,0.950132,0.969477,-14592.2,-14603.2,0.193327,0.768016,NA,NA,NA,NA
placements,ASV167_Turbellaria_Rhabdocoela_Cheliplana_Cheliplana_orthocirra,1,333,0.954411,0.978167,-15456.7,-15466.3,0.192818,0.653696,NA,NA,NA,NA
placements,ASV157_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.844731,0.861484,-15439.8,-15452.7,0.221608,0.90316,NA,NA,NA,NA
placements,ASV32_Turbellaria_Rhabdocoela_Cilionema_Cilionema_hawaiiensis,1,333,1,1,-15390.7,-15400.5,0.155364,0.669051,NA,NA,NA,NA
placements,ASV46_Turbellaria_Acoelomorpha_Convolutidae_Convolutidae_sp.,1,104,0.62542,0.726302,-17654.8,-17657.1,0.0812988,0.0264973,NA,NA,NA,NA
placements,ASV68_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,333,0.845247,0.86159,-15441.5,-15454.3,0.221638,0.899852,NA,NA,NA,NA
placements,ASV94_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,127,1,1,-12566.6,-12568.8,0.00161423,0.0162982,NA,NA,NA,NA
placements,ASV57_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_brevituba,1,333,0.994834,0.998114,-15657.4,-15669.6,0.152814,0.87035,NA,NA,NA,NA
