origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV70_Turbellaria_Acoelomorpha_Avagina_Avagina_marci,1,49,0.0831841,0.597625,-3552.76,-3629.28,0.0627887,1.92666,NA,NA,NA,NA
placements,ASV61_Turbellaria_Rhabdocoela_Balgetia_Balgetia_semicirculifera,1,149,0.0917803,0.0150519,-3654.1,-3701.58,5e-07,0.769008,NA,NA,NA,NA
placements,ASV44_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_sp.,1,49,0.191919,0.127705,-3614.56,-3648.8,0.0568612,0.507357,NA,NA,NA,NA
placements,ASV200_Turbellaria_Rhabdocoela_Brinkmanniella_Brinkmanniella_palmata,1,139,0.154764,0.926046,-3621.55,-3658.24,0.121952,0.593499,NA,NA,NA,NA
placements,ASV66_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_meixneri,1,49,0.349575,0.823515,-3593.72,-3621.84,0.0548672,0.389308,NA,NA,NA,NA
placements,ASV89_Turbellaria_Rhabdocoela_Polycystis_Polycystis_naegelii,1,49,0.20373,0.452418,-3559.27,-3591.45,0.0625897,0.481896,NA,NA,NA,NA
placements,ASV35_Turbellaria_Rhabdocoela_Styloplanella_Styloplanella_strongylostomoides,1,144,0.10743,0.158103,-3612.07,-3653.11,0.00387944,0.701701,NA,NA,NA,NA
placements,ASV102_Turbellaria_Macrostomorpha_Macrostomidae_Macrostomidae_sp.,1,52,0.848859,0.920998,-3422.01,-3424.13,0.00450309,0.0229193,NA,NA,NA,NA
placements,ASV138_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,155,0.0633973,0.044774,-3634.45,-3690.7,0.00451792,1.00616,NA,NA,NA,NA
placements,ASV111_Turbellaria_Acoelomorpha_Pseudmecynostomum_Pseudmecynostomum_bruneofilum,1,134,0.07506,0.108128,-3446.39,-3521.44,0.0484306,1.70647,NA,NA,NA,NA
placements,ASV135_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.326041,0.891755,-3572.74,-3611.5,0.0528027,0.610401,NA,NA,NA,NA
placements,ASV59_Turbellaria_Acoelomorpha_Pelophila_Pelophila_lutheri,1,51,0.107457,0.0107526,-3634.93,-3717.64,6.8758e-06,1.91868,NA,NA,NA,NA
placements,ASV82_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.244949,0.387868,-3625.74,-3687.31,9.20381e-06,1.19468,NA,NA,NA,NA
placements,ASV195_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,102,0.145078,0.0505517,-3309.25,-3379.9,9.20381e-06,1.46903,NA,NA,NA,NA
placements,ASV140_Turbellaria_Rhabdocoela_Odontorhynchus_Odontorhynchus_aculeatus,1,49,0.372259,0.751925,-3556.7,-3580.78,0.069781,0.319466,NA,NA,NA,NA
placements,ASV47_Turbellaria_Rhabdocoela_Astrotorhynchus_Astrotorhynchus_bifidus,1,49,0.357711,0.917858,-3568.31,-3605.88,0.0523355,0.585362,NA,NA,NA,NA
placements,ASV207_Monogenea_Monopisthocotylea_Leptocotyle_Leptocotyle_minor,1,61,0.0592433,0.094622,-2995.04,-3069.8,5.54896e-06,1.86359,NA,NA,NA,NA
