origin,name,multiplicity,edge_num,like_weight_ratio,post_prob,likelihood,marginal_like,distal_length,pendant_length,classification,map_ratio,map_overlap,map_identity
placements,ASV198_Turbellaria_Acoelomorpha_Mecynostomum_Mecynostomum_auritum,1,151,0.39317,0.221585,-14963.9,-14994.5,6.66927e-06,1.22011,NA,NA,NA,NA
placements,ASV177_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,399,0.188778,0.3724,-19973,-20033.4,0.135904,1.99999,NA,NA,NA,NA
placements,ASV104_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.515228,0.221477,-19704.4,-19732.8,0.0934216,1.12788,NA,NA,NA,NA
placements,ASV182_Turbellaria_Acoelomorpha_Solenofilomorpha_Solenofilomorpha_pellucida,1,408,0.628441,0.518987,-20860,-20893.5,0.0801826,1.38647,NA,NA,NA,NA
placements,ASV146_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,16,1,1,-21443.9,-21447.6,6.14184e-06,0.00329978,NA,NA,NA,NA
placements,ASV76_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,408,0.501602,0.542886,-19592,-19640.6,0.0983931,1.99999,NA,NA,NA,NA
placements,ASV160_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_cochleare,1,16,1,1,-21442.6,-21446.3,6.14184e-06,0.00330077,NA,NA,NA,NA
placements,ASV42_Turbellaria_Rhabdocoela_Paracrorhynchus_Paracrorhynchus_sp.,1,481,1,1,-21100.4,-21102.6,0.0270854,0.0176226,NA,NA,NA,NA
placements,ASV203_Turbellaria_Acoelomorpha_Nemertoderma_Nemertoderma_westbladi,1,399,0.726041,0.786025,-20649.4,-20664.1,0.204588,0.494382,NA,NA,NA,NA
placements,ASV163_Turbellaria_Rhabdocoela_Promesostoma_Promesostoma_sp.,1,6,0.333976,0.320865,-21614.8,-21617,0.012129,0.0100214,NA,NA,NA,NA
placements,ASV115_Turbellaria_Acoelomorpha_Haploposthia_Haploposthia_rubra,1,408,0.543665,0.304729,-20250,-20285.5,0.0959077,1.5808,NA,NA,NA,NA
placements,ASV87_Turbellaria_Rhabdocoela_Adenopharynx_Adenopharynx_mitrabursalis,1,390,0.807206,0.794763,-21201.3,-21209.6,0.0983722,0.246415,NA,NA,NA,NA
placements,ASV18_Turbellaria_Acoelomorpha_Aphanastoma_Aphanastoma_virescens,1,408,0.194618,0.0944526,-19597.2,-19647.2,0.0983908,1.99999,NA,NA,NA,NA
placements,ASV57_Turbellaria_Rhabdocoela_Baicalellia_Baicalellia_brevituba,1,341,0.330222,0.600322,-21212.2,-21214.3,0.00263141,0.0579059,NA,NA,NA,NA
placements,ASV169_Turbellaria_Acoelomorpha_Haplogonaria_Haplogonaria_sp.,1,408,0.55383,0.50105,-20015.4,-20046.5,0.101954,1.2134,NA,NA,NA,NA
placements,ASV132_Turbellaria_Catenulida_Stenostomum_Stenostomum_leucops,1,398,0.388096,0.48163,-20199.9,-20202.4,6.24503e-06,6.11352e-06,NA,NA,NA,NA
placements,ASV48_Turbellaria_Rhabdocoela_Thalassoplanella_Thalassoplanella_collaris,1,710,1,1,-21630.8,-21633.9,0.033121,0.0689347,NA,NA,NA,NA
placements,ASV49_Turbellaria_Rhabdocoela_Byrsophlebs_Byrsophlebs_delamarei,1,719,1,1,-21615.8,-21618.3,0.0440327,0.0353069,NA,NA,NA,NA
